|fi|Pg|Pd|Pn|Pr|Pk|fkos0.9198

|540.00000|68000.00000|609275.46273|873.32585|-609272.68089|2037.76730|-360.08217|
|540.50000|68000.00000|609274.90664|-720.94049|-609273.01092|-1682.19841|-360.43217|
|541.00000|59000.00000|600285.98366|-2281.00926|-600266.72102|-5322.48302|-360.78217|
|541.50000|59000.00000|600308.67777|-3851.73332|-600253.74669|-8987.99448|-361.13219|
|542.00000|59000.00000|600342.95613|-5422.46680|-600234.07166|-12654.14330|-361.48224|
|542.50000|49000.00000|590388.76913|-6876.73464|-590210.64609|-16049.34380|-361.83232|
|543.00000|49000.00000|590446.05035|-8421.34631|-590178.85465|-19656.47402|-362.18245|
|543.50000|49000.00000|590514.71663|-9965.98151|-590140.39931|-23265.00473|-362.53263|
|544.00000|39000.00000|580594.66806|-11315.74218|-580103.60385|-26420.13249|-362.88289|
|544.50000|39000.00000|580685.78808|-12834.30560|-580053.82105|-29971.12873|-363.23321|
|545.00000|39000.00000|580787.94343|-14352.90322|-579997.21148|-33524.25590|-363.58363|
|545.50000|39000.00000|580900.98428|-15871.53210|-579933.57483|-37079.75004|-363.93414|
|546.00000|29000.00000|571024.74426|-17090.88501|-569882.68890|-39938.42510|-364.28477|
|546.50000|29000.00000|571159.04050|-18583.49551|-569807.96430|-43438.22823|-364.63551|
|547.00000|20000.00000|562303.67371|-19759.86358|-560750.64669|-46201.57914|-364.98638|
|547.50000|20000.00000|562458.42827|-21229.09110|-560664.58193|-49652.63748|-365.33739|
|548.00000|10000.00000|552623.07227|-22294.89810|-550607.23023|-52163.21034|-365.68855|
|548.50000|10000.00000|552797.35764|-23738.16122|-550510.20461|-55560.17941|-366.03987|
|549.00000|0.00000|542981.02021|-24726.05071|-540451.63351|-57894.71249|-366.39137|
|549.50000|0.00000|543173.77981|-26143.36318|-540343.50473|-61238.28383|-366.74304|
|550.00000|0.00000|543375.34039|-27560.65335|-540226.80480|-64585.98554|-367.09490|
|550.50000|10000.00000|553585.39009|-29510.97852|-550037.02820|-69187.78494|-367.44697|
|551.00000|10000.00000|553803.60141|-30953.97314|-549895.47208|-72605.42115|-367.79925|
|551.50000|10000.00000|554029.63128|-32396.80764|-549743.74415|-76027.63481|-368.15175|
|552.00000|20000.00000|564263.12121|-34449.96552|-559496.90898|-80888.06419|-368.50448|
|552.50000|20000.00000|564503.69741|-35918.08164|-559315.98511|-84381.05109|-368.85746|
|553.00000|20000.00000|564750.97094|-37385.84589|-559123.10743|-87878.95876|-369.21069|
|553.50000|29000.00000|574004.53784|-39472.08941|-567820.79397|-92837.49909|-369.56419|
|554.00000|29000.00000|574263.97928|-40962.02213|-567594.85212|-96400.66909|-369.91796|
|554.50000|39000.00000|584528.86173|-43190.24584|-577230.16807|-101708.99962|-370.27201|
|555.00000|39000.00000|584798.73708|-44704.44896|-576966.83089|-105343.84989|-370.62636|
|555.50000|49000.00000|595073.14286|-47007.78583|-586544.79255|-110846.66713|-370.98101|
|556.00000|49000.00000|595351.60235|-48545.72204|-586240.34589|-114553.36923|-371.33598|
|556.50000|49000.00000|595633.62480|-50082.59312|-585918.93267|-118265.31807|-371.69127|
|557.00000|49000.00000|595918.70558|-51618.28619|-585579.90357|-121982.48920|-372.04690|
|557.50000|59000.00000|606206.32641|-54044.19628|-595038.36671|-127813.25238|-372.40288|
|558.00000|59000.00000|606495.95549|-55602.43341|-594651.02221|-131602.18999|-372.75921|
|558.50000|59000.00000|606787.04773|-57159.05862|-594243.68004|-135396.18904|-373.11591|
|559.00000|59000.00000|607079.04496|-58713.92879|-593815.62949|-139195.15238|-373.47299|
|559.50000|49000.00000|597371.37612|-59274.63561|-583596.73374|-140644.57258|-373.83046|
|560.00000|49000.00000|597663.45744|-60800.49086|-583137.53763|-144391.55191|-374.18832|
|560.50000|49000.00000|597954.69274|-62324.17561|-582655.77244|-148143.06692|-374.54659|
|561.00000|39000.00000|588244.47356|-62778.30319|-572419.69523|-149359.86254|-374.90528|
|561.50000|39000.00000|588532.17943|-64272.25979|-571904.01949|-153058.29640|-375.26440|
|562.00000|29000.00000|578817.17811|-64646.69379|-561660.23324|-154098.35524|-375.62395|
|562.50000|29000.00000|579098.82577|-66110.42949|-561108.95724|-157742.75577|-375.98396|
|563.00000|20000.00000|570376.46730|-66521.54170|-551824.65994|-158883.52539|-376.34442|
|563.50000|20000.00000|570649.43649|-67956.97797|-551234.54679|-162478.93602|-376.70535|
|564.00000|10000.00000|560917.05632|-68173.67757|-540972.95485|-163168.18474|-377.06676|
|564.50000|10000.00000|561178.63919|-69577.75600|-540343.64817|-166707.14171|-377.42866|
|565.00000|0.00000|551433.48718|-69713.88120|-530073.38197|-167215.80590|-377.79107|
|565.50000|0.00000|551680.89230|-71085.96978|-529403.07371|-170696.82943|-378.15398|
|566.00000|0.00000|551920.13678|-72453.92511|-528703.16059|-174179.15096|-378.51741|
|566.50000|0.00000|552150.49331|-73817.49254|-527972.80268|-177662.34574|-378.88137|
|567.00000|10000.00000|562371.22531|-76537.38519|-536755.66353|-184425.38887|-379.24587|
|567.50000|10000.00000|562581.58724|-77915.36410|-535943.88053|-187970.75088|-379.61092|
|568.00000|10000.00000|562780.82484|-79288.05657|-535098.71720|-191515.57529|-379.97653|
|568.50000|10000.00000|562968.17543|-80655.17254|-534219.31691|-195059.33674|-380.34271|
|569.00000|10000.00000|563142.86819|-82016.41359|-533304.82140|-198601.48429|-380.70947|
|569.50000|10000.00000|563304.12446|-83371.47292|-532354.37151|-202141.44122|-381.07682|
